09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:o, limit:20
09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:ob, limit:20
09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:obj, limit:20
09-07-2021 15:35:38 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
09-07-2021 15:35:39 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:13900, sem:20210
09-07-2021 15:35:39 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
09-07-2021 15:35:41 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:13900, sem:20210
09-07-2021 15:35:41 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
09-07-2021 15:35:55 | 10.149.248.16> UPDATE>applied> INFO: 	successfully saved applied status
09-07-2021 15:38:03 | 10.149.248.16> UPDATE>applied> INFO: 	successfully saved applied status
09-07-2021 15:38:04 | 10.149.248.16> UPDATE>applied> INFO: 	successfully saved applied status
09-07-2021 15:38:06 | 10.149.248.16> UPDATE>applied> INFO: 	successfully saved applied status
09-07-2021 15:39:15 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:a, limit:20
09-07-2021 15:39:15 | 10.149.248.16> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
09-07-2021 15:39:16 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
09-07-2021 15:39:16 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
09-07-2021 15:39:17 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
09-07-2021 15:39:17 | 10.149.248.16> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:15:59 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:15:59 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:15:59 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:15:59 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:16:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:16:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:16:09 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:16:09 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:16:24 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:16:24 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:16:24 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:16:24 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:16:27 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:16:27 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:16:30 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:16:30 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:16:51 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:16:51 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:16:51 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:16:51 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:16:53 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:16:53 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:16:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:16:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:17:18 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:17:18 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:18 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:17:18 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:17:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:17:23 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:17:23 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:17:25 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:17:25 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:17:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
